,clue_text
396,[अपराधी\xa0के\xa0पास1सेअधिकप्रतिवर्तीकोणहैं
397,[अपराधी\xa0के\xa0पासकमसेकम1अधिककोणहैं]
398,[अपराधी\xa0के\xa0पास2सेअधिकभुजाएँहैं]
399,[अपराधी\xa0के\xa0पास3सेकमन्यूनकोणहैं]
400,[अपराधी\xa0के\xa0पासकोईन्यूनकोणनहींहैं]
401,[अपराधी\xa0के\xa0पास5सेकमन्यूनकोणहैं]
402,[अपराधी\xa0के\xa0पास2सेकमप्रतिवर्तीकोणहैं]
403,[अपराधी\xa0के\xa0पास3सेअधिकसमानभुजाओंकीजोड़ीहैं]
404,[अपराधी\xa0के\xa0पास2सेकमअधिककोणहैं]
405,[अपराधी\xa0के\xa0पास4सेकमप्रतिवर्तीकोणहैं]
406,[अपराधी\xa0के\xa0पासकेवल1प्रतिवर्तीकोणहैं]
407,[अपराधी\xa0के\xa0पास5सेकमअधिककोणहैं]
408,[अपराधी\xa0के\xa0पास1सेअधिकन्यूनकोणहैं]
409,[अपराधी\xa0के\xa0पासकमसेकम1न्यूनकोणहैं]
410,[अपराधी\xa0के\xa0पास3सेकमसमानांतरभुजाओंकीजोड़ीहैं]
411,[अपराधी\xa0के\xa0पासकोईप्रतिवर्तीकोणनहींहैं]
412,[अपराधी\xa0के\xa0पासकमसेकम1प्रतिवर्तीकोणहैं]
413,[Theculprithasmorethan1equalpairsofsides
414,[अपराधी\xa0के\xa0पासकमसेकम3अधिककोणहैं]
415,[अपराधी\xa0के\xa0पासकेवल1समानभुजाओंकीजोड़ीहैं]
416,अपराधी\xa0के\xa0पासकेवल4समकोणहैं]
417,[अपराधी\xa0के\xa0पास3सेअधिकसमकोणहैं
418,अपराधी\xa0के\xa0पासकोईभुजाएँनहींहैं
419,अपराधी\xa0के\xa0पासकेवल2प्रतिवर्तीकोणहैं]
420,[अपराधी\xa0के\xa0पास2सेकमन्यूनकोणहैं]
421,[अपराधी\xa0के\xa0पासकेवल8भुजाएँहैं]
422,[अपराधी\xa0के\xa0पासकेवल5न्यूनकोणहैं]
423,[अपराधी\xa0के\xa0पास3सेकमसमानांतरभुजाओंकीजोड़ीहैं
424,[अपराधी\xa0के\xa0पासकेवल4समकोणहैं]
425,[अपराधी\xa0के\xa0पासकेवल10भुजाएँहैं]
